Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Pães e bolos",4984253,"1319","Pão de Aipim sem Glúten",100.6,"O Pão de Aipim sem glúten e sem leite da Bem Nutrir não contém glúten, não contém proteína do leite, lactose, açúcar, ovos ou conservantes.","<p>O <strong>Pão de Aipim sem Glúten</strong> da <strong>Bem Nutrir</strong> é produzido a partir de um mix de farinhas de arroz, de soja integral e de mandioca. Resultando em um produto <strong>livre de glúten</strong>, ideal para <strong>celíacos</strong>. O <strong>pão sem glúten</strong> da <strong>Bem Nutrir</strong> também <strong>não contém leite ou lactose</strong>, <strong>açúcar</strong>, <strong>ovos</strong> ou <strong>conservantes químicos</strong>.</p>
<p><strong>Ingredientes</strong>: Farinha de arroz, farinha de soja integral, fécula de mandioca, óleo de soja, sal marinho, fermento biológico, aipim e vinagre. <strong>NÃO CONTÉM GLÚTEN</strong>.</p>
<h3>Onde comprar o Pão de Aipim Sem Glúten Bem Nutrir:</h3>
<p>Você encontra o <strong>Pão de Aipim</strong> <strong>Sem Glúten</strong> Bem Nutrir nas lojas <strong>Grão Natural</strong> em <strong>Porto Alegre</strong>.</p>","",True,3,0,True,0,0,11.9,0,0,0,,,False,False,"1319_pq.jpg","1319_md.jpg","","124472,124473,124474,124992,128223","81123","","Bem Nutrir","500g","","",0,,65,"Pães",,0,0,,"descrHTM/pao_bn_ai.html","pão bem nutrir de aipim sem glúten,pão bem nutrir sem glúten, pão de aipim, pão sem açúcar, pão sem glúten, pão sem lactose, sem açúcar, sem glúten, sem lactose, pão caseiro, pão porto alegre, pão sem",0,0,"",True,False,0,0,0,"","","Pão de Aipim sem Glúten Bem Nutrir","pao-de-aipim-sem-gluten-bem-nutrir","","Comprar Pão de Aipim Bem Nutrir. Sem glúten, sem leite e sem açúcar. Delivery para Porto Alegre.",""
"A","Pães e bolos",5018333,"1321","Pão de Batata Doce com Sementes sem Glúten",100.6,"O Pão de Batata Doce com Sementes Bem Nutrir não contém glúten, não contém proteína do leite, lactose, açúcar, ovos ou conservantes.","<p>O <strong>Pão de Batata Doce</strong> com Sementes <strong>sem Glúten</strong> da <strong>Bem Nutrir</strong> é produzido sem farinha de trigo, por isso <strong>não contén glúten</strong>, possibilitando assim o consumo por pessoas com a <strong>doença celíaca</strong> ou por quem retirou o <strong>glúten da sua alimentação</strong>. Além de <strong>não possuir glúten</strong> os pães Bem Nutrir <strong>não contém leite, lactose</strong>, açúcar, ovos ou conservantes.</p>
<p><strong>Ingredientes</strong>: Farinha de arroz, farinha de soja integral, fécula de mandioca, óleo de soja, sal marinho, fermento biológico, vinagre, batata-doce, gergelim e linhaça. <strong>NÃO CONTÉM GLÚTEN</strong>. Sem conservantes químicos.</p>
<h3>Onde comprar o Pão de Batata Doce Sem Glúten Bem Nutrir:</h3>
<p>Você encontra o <strong>Pão de Batata Doce </strong><strong>Sem Glúten</strong> Bem Nutrir nas lojas <strong>Grão Natural</strong> em <strong>Porto Alegre</strong>.</p>","",True,4,0,True,0,0,11.9,0,0,0,,,False,False,"1321_pq.jpg","1321_md.jpg","1321_gr.jpg","124472,124473,124992,125132","81123","","Bem Nutrir","500g","","",0,,65,"Pães",,0,0,,"","pão bem nutrir de batata doce sem glúten,pão bem nutrir sem glúten, pão de batata doce, pão sem açúcar, pão sem glúten, pão sem lactose, sem açúcar, sem glúten, sem lactose",0,0,"",True,False,0,0,0,"","","Pão de Batata Doce com Sementes","pao-de-batata-doce-com-sementes","","Comprar Pão de Batata Doce com Sementes Bem Nutrir. Sem glúten, sem leite e sem açúcar. Tele-entrega para Porto Alegre.",""
"A","Pães e bolos",4984254,"1493","Pão de Batata Doce sem Glúten",100.6,"O Pão de Batata Doce sem Glúten e sem leite da Bem Nutrir não contém glúten, não contém proteína do leite, lactose, açúcar, ovos ou conservantes.","<p>O <strong>Pão de Batata Doce sem Glúten</strong> da <strong>Bem Nutrir</strong> é produzido a partir de um mix de farinhas de arroz, de soja integral e de Batata Doce. Resultando em um produto <strong>livre de glúten</strong>, ideal para <strong>celíacos</strong>. O <strong>pão sem glúten</strong> da <strong>Bem Nutrir</strong> também <strong>não contém leite ou lactose</strong>, <strong>açúcar</strong>, <strong>ovos</strong> ou <strong>conservantes químicos</strong>.</p>
<p><strong>Ingredientes</strong>: Farinha de arroz, farinha de soja integral, fécula de mandioca, óleo de soja, sal marinho, fermento biológico, batata-doce e vinagre. <strong>NÃO CONTÉM GLÚTEN</strong>. Sem conservantes químicos.</p>
<h3>Onde comprar o Pão de Batata Doce Sem Glúten Bem Nutrir:</h3>
<p>Você encontra o <strong>Pão de Batata Doce </strong><strong>Sem Glúten</strong> Bem Nutrir nas lojas <strong>Grão Natural</strong> em <strong>Porto Alegre</strong>.</p>","",True,2,0,True,0,0,11.9,0,0,0,,,False,False,"1493_pq.jpg","1493_md.jpg","","124472,124473,124474,124992","81123","","Bem Nutrir","500g","","",0,,65,"Pães",,0,0,,"","pão bem nutrir de batata doce com sementes,pão bem nutrir sem glúten, pão de batata doce, pão sem açúcar, pão sem glúten, pão sem lactose, sem açúcar, sem glúten, sem lactose",0,0,"",True,False,0,0,0,"","","Pão de Batata Doce sem Glúten Bem Nutrir","pao-de-batata-doce-sem-gluten-bem-nutrir","","Comprar Pão de Batata Doce Bem Nutrir. Sem glúten, sem leite e sem açúcar. Delivery para Porto Alegre.",""
"A","Pães e bolos",4984256,"1320","Pão de Cenoura com Sementes sem Glúten",100.6,"O Pão de Cenoura com Sementes Bem Nutrir não contém glúten, não contém proteína do leite, lactose, açúcar, ovos ou conservantes.","<p>O <strong>Pão de Cenoura </strong>com Sementes <strong>sem Glúten</strong> da <strong>Bem Nutrir</strong> é produzido sem farinha de trigo, por isso <strong>não contén glúten</strong>, possibilitando assim o consumo por pessoas com a <strong>doença celíaca</strong> ou por quem não consome produtos com <strong>glúten</strong>. Além de <strong>não possuir glúten</strong> os pães Bem Nutrir <strong>não contém proteína do leite</strong>, <strong>lactose</strong>, açúcar, ovos ou conservantes.</p>
<p><strong>Ingredientes</strong>: Farinha de arroz, farinha de soja integral, fécula de mandioca, óleo de soja, sal marinho, fermento biológico, vinagre, cenoura, gergelim e linhaça. <strong>NÃO CONTÉM GLÚTEN</strong>. Sem conservantes químicos.</p>
<h3>Onde comprar o Pão de Cenoura Sem Glúten Bem Nutrir:</h3>
<p>Você encontra o <strong>Pão de Cenoura </strong><strong>Sem Glúten</strong> Bem Nutrir nas lojas <strong>Grão Natural</strong> em <strong>Porto Alegre</strong>.</p>","",True,4,0,True,0,0,11.9,0,0,0,,,False,False,"1320_pq.jpg","1320_md.jpg","1320_gr.jpg","124472,124473,124474,124992","81123","","Bem Nutrir","500g","","",0,,65,"Pães",,0,0,,"","pão bem nutrir de cenoura sem glúten,pão bem nutrir sem glúten, pão de cenoura, pão sem açúcar, pão sem glúten, pão sem lactose, sem açúcar, sem glúten, sem lactose",0,0,"",True,False,0,0,0,"","","Pão de Cenoura com Sementes sem Glúten Bem Nutrir","pao-de-cenoura-com-sementes-sem-gluten-bem-nutrir","","Comprar Pão de Cenoura com Sementes Bem Nutrir. Sem glúten, sem leite e sem açúcar. Delivery para Porto Alegre.",""
"A","Pães e bolos",5018334,"1492","Pão de Cenoura sem Glúten",100.6,"O Pão de Cenoura sem Glúten e sem leite da Bem Nutrir não contém glúten, não contém proteína do leite, lactose, açúcar, ovos ou conservantes.","<p>O <strong>Pão de Cenoura sem Glúten</strong> da <strong>Bem Nutrir</strong> é produzido a partir de um mix de farinhas de arroz, de soja integral e de cenoura. Resultando em um produto <strong>livre de glúten</strong>, ideal para <strong>celíacos</strong>. O <strong>pão sem glúten</strong> da <strong>Bem Nutrir</strong> também <strong>não contém leite ou lactose</strong>, <strong>açúcar</strong>, <strong>ovos</strong> ou <strong>conservantes químicos</strong>.</p>
<p><strong>Ingredientes</strong>:Farinha de arroz, farinha de soja integral, fécula de mandioca, óleo de soja, sal marinho, fermento biológico, cenoura e vinagre. <strong>NÃO CONTÉM GLÚTEN</strong>. Sem conservantes químicos.</p>
<h3>Onde comprar o Pão de Cenoura Sem Glúten Bem Nutrir:</h3>
<p>Você encontra o <strong>Pão de Cenoura </strong><strong>Sem Glúten</strong> Bem Nutrir nas lojas <strong>Grão Natural</strong> em <strong>Porto Alegre</strong>.</p>","",True,1,0,True,0,0,11.9,0,0,0,,,False,False,"1492_pq.jpg","1492_md.jpg","1492_gr.jpg","124472,124473,124992,125132","81123","","Bem Nutrir","500g","","",0,,65,"Pães",,0,0,,"","pão bem nutrir de cenoura sem glúten,pão bem nutrir sem glúten, pão de cenoura, pão sem açúcar, pão sem glúten, pão sem lactose, sem açúcar, sem glúten, sem lactose",0,0,"",True,False,0,0,0,"","","Pão de Cenoura sem Glúten","pao-de-cenoura-sem-gluten","","Comprar Pão de Cenoura com Sementes Bem Nutrir. Sem glúten, sem leite e sem açúcar. Tele-entrega para Porto Alegre.",""
"A","Pães e bolos",5007333,"chia_glu","Pão de Chia sem Glúten Glulac",0,"Delicioso Pão de Chia sem glúten e sem lactose. Produzido com chia e farinha de banana verde que aumenta a imunidade e melhora a digestão. Compre na Grão Natural sem glúten e sem lactose.","Delicioso Pão de Chia sem glúten e sem lactose. Produzido com chia e farinha de banana verde que aumenta a imunidade e melhora a digestão.

Ingredientes: Fécula de mandioca, farinha de arroz, goma xantana, sal 50% menos sódio, açúcar demerara, farinha de banana verde, farinha de chia, semente de chia, propionato de cálcio, óleo de girassol, ovo pasteurizado e fermento biológico.","",True,0,0,True,0,0,0,0,0,0,,,False,False,"chia_glu_pq.jpg","chia_glu_md.jpg","chia_glu_gr.jpg","124472,124473,125319","81092","","Glulac","600g","","",0,,65,"Pães",,0,0,,"","Pão chia glulac, pão sem glúten, pão chia sem glúten, sem glúten, glulac",0,0,"",True,False,0,0,0,"","","","pao-de-chia-sem-gluten-glulac","","",""
"A","Pães e bolos",4997847,"1881","Pão de Forma Integral (Pão Rústico)",0.248,"","","",True,0,0,True,0,0,0,0,0,0,,,False,False,"1881_pq.jpg","1881_md.jpg","1881_gr.jpg","124472,124473,124608,124992,125132","81084","","Schar","","","",0,,65,"Pães",,0,0,,"","pão rústico schar, rustico bread schar, rustico, schar, pão sem glúten, sem lactose, pão sem lactose, pão sem açúcar",0,0,"",True,False,0,0,0,"","","","pao-de-forma-integral-pao-rustico-","","",""
"A","Pães e bolos",5371304,"1859","Pão de Forma Sem Glúten Maná",100.52,"O Pão de Forma Sem Glúten Maná é produzido com ingredientes especialmente selecionados para deixar sem café da manhã ou lanche ainda mais gostoso e nutritivo.","Ingredientes: Farinha de arroz integral, farinha de arroz, fécula de batata, polvilho, ovos, açúcar mascavo, água, óleo de arroz ou girassol, fermento biológico, goma xantana, sal marinho, vinagre, propionato de cálcio. ALÉRGICOS: contém ovos. NÃO CONTÉM GLÚTEN. 

Onde encontrar Pão de Forma Sem Glúten Maná:
Compre nas Lojas Grão Natural em Porto Alegre.","",False,0,0,True,0,0,0,0,0,0,,,False,False,"1859_pq.jpg","1859_md.jpg","1859_gr.jpg","124472,124473,124992,125319","84133","","Maná","500g","","",0,,65,"Pães e bolos",,0,0,,"","pão de forma sem glúten, pão sem glúten, pão de forma maná, pão sem glúten porto alegre, comprar pão sem glúten porto alegre, tele-entrega pão sem glúten, sem glúten, pão sem lactose, pão maná, maná",0,0,"",False,False,0,0,0,"","","Pão de Forma Sem Glúten 500g Maná","pao-de-forma-sem-gluten-500g-mana","","Comprar Pão de Forma Sem Glúten 500g Maná. Pão sem glúten, sem leite e sem soja na Grão Natural. Delivery para Porto Alegre",""
"A","Pães e bolos",4997846,"1880","Pão de Forma, Pan Blanco",0.214,"","","",True,0,0,True,0,0,0,0,0,0,,,False,False,"1880_pq.jpg","1880_md.jpg","1880_gr.jpg","124472,124473,124608,124992","81084","","Schar","","","",0,,65,"Pães",,0,0,,"","Pan blanco, pan blanco schar, pão de forma, schar, pão de forma sem lactose, sem lactose, pão, pães",0,0,"",True,False,0,0,0,"","","","pao-de-forma-pan-blanco","","",""
"A","Pães e bolos",5007334,"2507","Pão de Linhaça sem Glúten Glulac",100.5,"Delicioso Pão de Linhaça sem glúten e sem lactose. Produzido com linhaça dourada e marrom e farinha de banana verde que aumenta a imunidade e melhora a digestão. Compre na Grão Natural.","Delicioso Pão de Linhaça sem glúten e sem lactose. Produzido com linhaça dourada e marrom e farinha de banana verde que aumenta a imunidade e melhora a digestão. 

Ingredientes: Fécula de mandioca, farinha de arroz, goma xantana, sal 50% menos sódio, açúcar demerara, farinha de banana verde, farinha de linhaça dourada e marrom, semente de linhaça dourada e marrom, propionato de cálcio, óleo de girassol, ovo pasteurizado e fermento biológico","",True,0,0,True,0,0,0,0,0,0,,,False,False,"2507_pq.jpg","2507_md.jpg","2507_gr.jpg","124472,124473,125319","81092","","Glulac","","","",0,,65,"Pães",,0,0,,"","Pão linhaça glulac, pão sem glúten, pão linhaça sem glúten, sem glúten, glulac",0,0,"",True,False,0,0,0,"","","Comprar Pão de Linhaça Sem Glúten Glulac","pao-de-linhaca-sem-gluten-glulac","","Delicioso Pão de Linhaça sem glúten e sem lactose. Produzido com linhaça dourada e marrom e farinha de banana verde que aumenta a imunidade.",""
